PartcipantID:1
RandID:1
InitialTimeStamp:11-47-51-456
block;trial;eventType;elapsedTime
1;0;RewardScene;0.055
1;1;Trial;2.114
1;1;AnswerScreen;10.162
1;1;TrialAnswer;10.234
1;1;InterTrialRest;13.3
1;1;RewardScene;13.677
1;2;Trial;15.792
1;2;AnswerScreen;23.831
1;2;TrialAnswer;23.86
1;2;InterTrialRest;26.942
1;2;RewardScene;27.369
1;3;Trial;29.395
1;3;AnswerScreen;37.45
1;3;TrialAnswer;37.481
1;3;InterTrialRest;40.558
1;3;RewardScene;40.947
1;4;Trial;43.016
1;4;AnswerScreen;51.057
1;4;TrialAnswer;51.089
1;4;ParticipantAnswer;52.352
1;4;InterTrialRest;52.381
1;4;RewardScene;52.764
1;5;Trial;54.82
1;5;AnswerScreen;62.846
1;5;TrialAnswer;62.875
1;5;ParticipantAnswer;64.198
1;5;InterTrialRest;64.225
1;5;RewardScene;64.592
1;6;Trial;66.655
1;6;AnswerScreen;74.731
1;6;TrialAnswer;74.772
1;6;InterTrialRest;77.915
1;6;RewardScene;78.284
1;7;Trial;80.391
